year,title
1939,Wuthering Heights
1939,The Wizard of Oz
1939,Stagecoach
1939,Of Mice and Men
1939,Ninotchka
1939,Mr. Smith Goes to Washington
1939,Love Affair
1939,"Goodbye, Mr. Chips"
1939,Dark Victory
1939,Gone with the Wind
1940,The Philadelphia Story
1940,Our Town
1940,The Long Voyage Home
1940,The Letter
1940,Kitty Foyle
1940,The Great Dictator
1940,The Grapes of Wrath
1940,Foreign Correspondent
1940,"All This, and Heaven Too"
1940,Rebecca
1941,Suspicion
1941,Sergeant York
1941,One Foot in Heaven
1941,The Maltese Falcon
1941,The Little Foxes
1941,Hold Back the Dawn
1941,Here Comes Mr. Jordan
1941,Citizen Kane
1941,Blossoms in the Dust
1941,How Green Was My Valley
1942,Yankee Doodle Dandy
1942,Wake Island
1942,The Talk of the Town
1942,Random Harvest
1942,The Pride of the Yankees
1942,The Pied Piper
1942,The Magnificent Ambersons
1942,Kings Row
1941,49th Parallel
1942,Mrs. Miniver
1943,Watch on the Rhine
1943,The Song of Bernadette
1942,The Ox-Bow Incident
1943,The More the Merrier
1943,Madame Curie
1942,In Which We Serve
1943,The Human Comedy
1943,Heaven Can Wait
1943,For Whom the Bell Tolls
1942,Casablanca
1944,Wilson
1944,Since You Went Away
1944,Gaslight
1944,Double Indemnity
1944,Going My Way
1945,Spellbound
1945,Mildred Pierce
1945,The Bells of St. Mary's
1945,Anchors Aweigh
1945,The Lost Weekend
1946,The Yearling
1946,The Razor's Edge
1946,It's a Wonderful Life
1944,Henry V
1946,The Best Years of Our Lives
1947,Miracle on 34th Street
1946,Great Expectations
1947,Crossfire
1947,The Bishop's Wife
1947,Gentleman's Agreement
1948,The Treasure of the Sierra Madre
1948,The Snake Pit
1948,The Red Shoes
1948,Johnny Belinda
1948,Hamlet
1949,Twelve O'Clock High
1949,A Letter to Three Wives
1949,The Heiress
1949,Battleground
1949,All the King's Men
1950,Sunset Blvd.
1950,King Solomon's Mines
1950,Father of the Bride
1950,Born Yesterday
1950,All About Eve
1951,A Streetcar Named Desire
1951,Quo Vadis
1951,A Place in the Sun
1951,Decision Before Dawn
1951,An American in Paris
1952,The Quiet Man
1952,Moulin Rouge
1952,Ivanhoe
1952,High Noon
1952,The Greatest Show on Earth
1953,Shane
1953,Roman Holiday
1953,The Robe
1953,Julius Caesar
1953,From Here to Eternity
1954,Three Coins in the Fountain
1954,Seven Brides for Seven Brothers
1954,The Country Girl
1954,The Caine Mutiny
1954,On the Waterfront
1955,The Rose Tattoo
1955,Picnic
1955,Mister Roberts
1955,Love Is a Many-Splendored Thing
1955,Marty
1956,The Ten Commandments
1956,The King and I
1956,Giant
1956,Friendly Persuasion
1956,Around the World in 80 Days
1957,Witness for the Prosecution
1957,12 Angry Men
1957,Sayonara
1957,Peyton Place
1957,The Bridge on the River Kwai
1958,Separate Tables
1958,The Defiant Ones
1958,Cat on a Hot Tin Roof
1958,Auntie Mame
1958,Gigi
1959,Room at the Top
1959,The Nun's Story
1959,The Diary of Anne Frank
1959,Anatomy of a Murder
1959,Ben-Hur
1960,The Sundowners
1960,Sons and Lovers
1960,Elmer Gantry
1960,The Alamo
1960,The Apartment
1961,Judgment at Nuremberg
1961,The Hustler
1961,The Guns of Navarone
1961,Fanny
1961,West Side Story
1962,To Kill a Mockingbird
1962,Mutiny on the Bounty
1962,The Music Man
1962,The Longest Day
1962,Lawrence of Arabia
1963,Lilies of the Field
1962,How the West Was Won
1963,Cleopatra
1963,America America
1963,Tom Jones
1964,Zorba the Greek
1964,Mary Poppins
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,Becket
1964,My Fair Lady
1965,A Thousand Clowns
1965,Ship of Fools
1965,Doctor Zhivago
1965,Darling
1965,The Sound of Music
1966,Who's Afraid of Virginia Woolf?
1966,The Sand Pebbles
1966,The Russians Are Coming the Russians Are Coming
1966,Alfie
1966,A Man for All Seasons
1967,Guess Who's Coming to Dinner
1967,The Graduate
1967,Doctor Dolittle
1967,Bonnie and Clyde
1967,In the Heat of the Night
1968,Romeo and Juliet
1968,"Rachel, Rachel"
1968,The Lion in Winter
1968,Funny Girl
1968,Oliver!
1969,Z
1969,"Hello, Dolly!"
1969,Butch Cassidy and the Sundance Kid
1969,Anne of the Thousand Days
1969,Midnight Cowboy
1970,MASH
1970,Love Story
1970,Five Easy Pieces
1970,Airport
1970,Patton
1971,Nicholas and Alexandra
1971,The Last Picture Show
1971,Fiddler on the Roof
1971,A Clockwork Orange
1971,The French Connection
1972,Sounder
1971,The Emigrants
1972,Deliverance
1972,Cabaret
1972,The Godfather
1973,A Touch of Class
1973,The Exorcist
1972,Cries & Whispers
1973,American Graffiti
1973,The Sting
1974,The Towering Inferno
1974,Lenny
1974,The Conversation
1974,Chinatown
1974,The Godfather: Part II
1975,Nashville
1975,Jaws
1975,Dog Day Afternoon
1975,Barry Lyndon
1975,One Flew Over the Cuckoo's Nest
1976,Taxi Driver
1976,Network
1976,Bound for Glory
1976,All the President's Men
1976,Rocky
1977,The Turning Point
1977,Star Wars: Episode IV - A New Hope
1977,Julia
1977,The Goodbye Girl
1977,Annie Hall
1978,An Unmarried Woman
1978,Midnight Express
1978,Heaven Can Wait
1978,Coming Home
1978,The Deer Hunter
1979,Norma Rae
1979,Breaking Away
1979,Apocalypse Now
1979,All That Jazz
1979,Kramer vs. Kramer
1979,Tess
1980,Raging Bull
1980,The Elephant Man
1980,Coal Miner's Daughter
1980,Ordinary People
1981,Reds
1981,Indiana Jones and the Raiders of the Lost Ark
1981,On Golden Pond
1980,Atlantic City
1981,Chariots of Fire
1982,The Verdict
1982,Tootsie
1982,Missing
1982,E.T. the Extra-Terrestrial
1982,Gandhi
1983,Tender Mercies
1983,The Right Stuff
1983,The Dresser
1983,The Big Chill
1983,Terms of Endearment
1984,A Soldier's Story
1984,Places in the Heart
1984,A Passage to India
1984,The Killing Fields
1984,Amadeus
1985,Witness
1985,Prizzi's Honor
1985,Kiss of the Spider Woman
1985,The Color Purple
1985,Out of Africa
1985,A Room with a View
1986,The Mission
1986,Hannah and Her Sisters
1986,Children of a Lesser God
1986,Platoon
1987,Moonstruck
1987,Hope and Glory
1987,Fatal Attraction
1987,Broadcast News
1987,The Last Emperor
1988,Working Girl
1988,Mississippi Burning
1988,Dangerous Liaisons
1988,The Accidental Tourist
1988,Rain Man
1989,My Left Foot
1989,Field of Dreams
1989,Dead Poets Society
1989,Born on the Fourth of July
1989,Driving Miss Daisy
1990,Goodfellas
1990,The Godfather: Part III
1990,Ghost
1990,Awakenings
1990,Dances with Wolves
1991,The Prince of Tides
1991,JFK
1991,Bugsy
1991,Beauty and the Beast
1991,The Silence of the Lambs
1992,Scent of a Woman
1992,Howards End
1992,A Few Good Men
1992,The Crying Game
1992,Unforgiven
1993,The Remains of the Day
1993,The Piano
1993,In the Name of the Father
1993,The Fugitive
1993,Schindler's List
1994,The Shawshank Redemption
1994,Quiz Show
1994,Pulp Fiction
1994,Four Weddings and a Funeral
1994,Forrest Gump
1995,Sense and Sensibility
1994,The Postman
1995,Babe
1995,Apollo 13
1995,Braveheart
1996,Shine
1996,Secrets & Lies
1996,Jerry Maguire
1996,Fargo
1996,The English Patient
1997,L.A. Confidential
1997,Good Will Hunting
1997,The Full Monty
1997,As Good as It Gets
1997,Titanic
1998,The Thin Red Line
1998,Saving Private Ryan
1997,Life Is Beautiful
1998,Elizabeth
1998,Shakespeare in Love
1999,The Sixth Sense
1999,The Insider
1999,The Green Mile
1999,The Cider House Rules
1999,American Beauty
2000,Traffic
2000,Erin Brockovich
2000,"Crouching Tiger, Hidden Dragon"
2000,Chocolat
2000,Gladiator
2001,Moulin Rouge!
2001,The Lord of the Rings: The Fellowship of the Ring
2001,In the Bedroom
2001,Gosford Park
2001,A Beautiful Mind
2002,The Pianist
2002,The Lord of the Rings: The Two Towers
2002,The Hours
2002,Gangs of New York
2002,Chicago
2003,Seabiscuit
2003,Mystic River
2003,Master and Commander: The Far Side of the World
2003,Lost in Translation
2003,The Lord of the Rings: The Return of the King
2004,Sideways
2004,Ray
2004,Finding Neverland
2004,The Aviator
2004,Million Dollar Baby
2005,Munich
2005,"Good Night, and Good Luck."
2005,Capote
2005,Brokeback Mountain
2004,Crash
2006,The Queen
2006,Little Miss Sunshine
2006,Letters from Iwo Jima
2006,Babel
2006,The Departed
2007,There Will Be Blood
2007,Michael Clayton
2007,Juno
2007,Atonement
2007,No Country for Old Men
2008,The Reader
2008,Milk
2008,Frost/Nixon
2008,The Curious Case of Benjamin Button
2008,Slumdog Millionaire
2009,Up in the Air
2009,Up
2009,The Blind Side
2009,Precious
2009,Inglourious Basterds
2009,District 9
2009,Avatar
2009,An Education
2009,A Serious Man
2008,The Hurt Locker
2010,True Grit
2010,Toy Story 3
2010,The Social Network
2010,The Kids Are All Right
2010,Inception
2010,The Fighter
2010,Black Swan
2010,127 Hours
2010,The King's Speech
2011,War Horse
2011,Moneyball
2011,Midnight in Paris
2011,Hugo
2011,The Help
2011,Extremely Loud & Incredibly Close
2011,The Descendants
2011,The Tree of Life
2011,The Artist
2012,Django Unchained
2012,Les Misérables
2012,Life of Pi
2012,Lincoln
2012,Silver Linings Playbook
2012,Amour
2012,Zero Dark Thirty
2012,Beasts of the Southern Wild
2012,Argo
2013,The Wolf of Wall Street
2013,Philomena
2013,Nebraska
2013,Her
2013,Gravity
2013,Dallas Buyers Club
2013,Captain Phillips
2013,American Hustle
2013,12 Years a Slave
2014,Whiplash
2014,The Theory of Everything
2014,Selma
2014,The Grand Budapest Hotel
2014,The Imitation Game
2014,Boyhood
2014,American Sniper
2014,Birdman or (The Unexpected Virtue of Ignorance)
2015,Room
2015,The Revenant
2015,The Martian
2015,Mad Max: Fury Road
2015,Brooklyn
2015,Bridge of Spies
2015,The Big Short
2015,Spotlight
2016,Manchester by the Sea
2016,Lion
2016,La La Land
2016,Hidden Figures
2016,Hell or High Water
2016,Hacksaw Ridge
2016,Fences
2016,Arrival
2016,Moonlight
2017,All the Money in the World
2017,Darkest Hour
2017,Call Me by Your Name
2017,Get Out
2017,The Post
2017,Lady Bird
2017,"Three Billboards Outside Ebbing, Missouri"
2017,Dunkirk
2017,The Shape of Water
2018,Vice
2018,A Star Is Born
2018,Roma
2018,The Favourite
2018,Bohemian Rhapsody
2018,BlacKkKlansman
2018,Black Panther
2018,Green Book
2019,Once Upon a Time... In Hollywood
2019,Little Women
2019,Jojo Rabbit
2019,1917
2019,The Irishman
2019,Marriage Story
2019,Joker
2019,Ford v Ferrari
2019,Parasite
2020,The Trial of the Chicago 7
2019,Sound of Metal
2020,Promising Young Woman
2020,Minari
2020,Mank
2021,Judas and the Black Messiah
2020,The Father
2020,Nomadland
